sepal.length;sepal.width;petal.length;petal.width;Setosa, Versicolor, Virginica
05.янв;03.май;01.апр;0.2;0
04.сен;3;01.апр;0.2;0
04.июл;03.фев;01.мар;0.2;0
04.июн;03.янв;01.май;0.2;0
5;03.июн;01.апр;0.2;0
05.апр;03.сен;01.июл;0.4;0
04.июн;03.апр;01.апр;0.3;0
5;03.апр;01.май;0.2;0
04.апр;02.сен;01.апр;0.2;0
04.сен;03.янв;01.май;0.1;0
05.апр;03.июл;01.май;0.2;0
04.авг;03.апр;01.июн;0.2;0
04.авг;3;01.апр;0.1;0
04.мар;3;01.янв;0.1;0
05.авг;4;01.фев;0.2;0
05.июл;04.апр;01.май;0.4;0
05.апр;03.сен;01.мар;0.4;0
05.янв;03.май;01.апр;0.3;0
05.июл;03.авг;01.июл;0.3;0
05.янв;03.авг;01.май;0.3;0
05.апр;03.апр;01.июл;0.2;0
05.янв;03.июл;01.май;0.4;0
04.июн;03.июн;1;0.2;0
05.янв;03.мар;01.июл;0.5;0
04.авг;03.апр;01.сен;0.2;0
5;3;01.июн;0.2;0
5;03.апр;01.июн;0.4;0
05.фев;03.май;01.май;0.2;0
05.фев;03.апр;01.апр;0.2;0
04.июл;03.фев;01.июн;0.2;0
04.авг;03.янв;01.июн;0.2;0
05.апр;03.апр;01.май;0.4;0
05.фев;04.янв;01.май;0.1;0
05.май;04.фев;01.апр;0.2;0
04.сен;03.янв;01.май;0.2;0
5;03.фев;01.фев;0.2;0
05.май;03.май;01.мар;0.2;0
04.сен;03.июн;01.апр;0.1;0
04.апр;3;01.мар;0.2;0
05.янв;03.апр;01.май;0.2;0
5;03.май;01.мар;0.3;0
04.май;02.мар;01.мар;0.3;0
04.апр;03.фев;01.мар;0.2;0
5;03.май;01.июн;0.6;0
05.янв;03.авг;01.сен;0.4;0
04.авг;3;01.апр;0.3;0
05.янв;03.авг;01.июн;0.2;0
04.июн;03.фев;01.апр;0.2;0
05.мар;03.июл;01.май;0.2;0
5;03.мар;01.апр;0.2;0
7;03.фев;04.июл;01.апр;1
06.апр;03.фев;04.май;01.май;1
06.сен;03.янв;04.сен;01.май;1
05.май;02.мар;4;01.мар;1
06.май;02.авг;04.июн;01.май;1
05.июл;02.авг;04.май;01.мар;1
06.мар;03.мар;04.июл;01.июн;1
04.сен;02.апр;03.мар;1;1
06.июн;02.сен;04.июн;01.мар;1
05.фев;02.июл;03.сен;01.апр;1
5;2;03.май;1;1
05.сен;3;04.фев;01.май;1
6;02.фев;4;1;1
06.янв;02.сен;04.июл;01.апр;1
05.июн;02.сен;03.июн;01.мар;1
06.июл;03.янв;04.апр;01.апр;1
05.июн;3;04.май;01.май;1
05.авг;02.июл;04.янв;1;1
06.фев;02.фев;04.май;01.май;1
05.июн;02.май;03.сен;01.янв;1
05.сен;03.фев;04.авг;01.авг;1
06.янв;02.авг;4;01.мар;1
06.мар;02.май;04.сен;01.май;1
06.янв;02.авг;04.июл;01.фев;1
06.апр;02.сен;04.мар;01.мар;1
06.июн;3;04.апр;01.апр;1
06.авг;02.авг;04.авг;01.апр;1
06.июл;3;5;01.июл;1
6;02.сен;04.май;01.май;1
05.июл;02.июн;03.май;1;1
05.май;02.апр;03.авг;01.янв;1
05.май;02.апр;03.июл;1;1
05.авг;02.июл;03.сен;01.фев;1
6;02.июл;05.янв;01.июн;1
05.апр;3;04.май;01.май;1
6;03.апр;04.май;01.июн;1
06.июл;03.янв;04.июл;01.май;1
06.мар;02.мар;04.апр;01.мар;1
05.июн;3;04.янв;01.мар;1
05.май;02.май;4;01.мар;1
05.май;02.июн;04.апр;01.фев;1
06.янв;3;04.июн;01.апр;1
05.авг;02.июн;4;01.фев;1
5;02.мар;03.мар;1;1
05.июн;02.июл;04.фев;01.мар;1
05.июл;3;04.фев;01.фев;1
05.июл;02.сен;04.фев;01.мар;1
06.фев;02.сен;04.мар;01.мар;1
05.янв;02.май;3;01.янв;1
05.июл;02.авг;04.янв;01.мар;1
06.мар;03.мар;6;02.май;2
05.авг;02.июл;05.янв;01.сен;2
07.янв;3;05.сен;02.янв;2
06.мар;02.сен;05.июн;01.авг;2
06.май;3;05.авг;02.фев;2
07.июн;3;06.июн;02.янв;2
04.сен;02.май;04.май;01.июл;2
07.мар;02.сен;06.мар;01.авг;2
06.июл;02.май;05.авг;01.авг;2
07.фев;03.июн;06.янв;02.май;2
06.май;03.фев;05.янв;2;2
06.апр;02.июл;05.мар;01.сен;2
06.авг;3;05.май;02.янв;2
05.июл;02.май;5;2;2
05.авг;02.авг;05.янв;02.апр;2
06.апр;03.фев;05.мар;02.мар;2
06.май;3;05.май;01.авг;2
07.июл;03.авг;06.июл;02.фев;2
07.июл;02.июн;06.сен;02.мар;2
6;02.фев;5;01.май;2
06.сен;03.фев;05.июл;02.мар;2
05.июн;02.авг;04.сен;2;2
07.июл;02.авг;06.июл;2;2
06.мар;02.июл;04.сен;01.авг;2
06.июл;03.мар;05.июл;02.янв;2
07.фев;03.фев;6;01.авг;2
06.фев;02.авг;04.авг;01.авг;2
06.янв;3;04.сен;01.авг;2
06.апр;02.авг;05.июн;02.янв;2
07.фев;3;05.авг;01.июн;2
07.апр;02.авг;06.янв;01.сен;2
07.сен;03.авг;06.апр;2;2
06.апр;02.авг;05.июн;02.фев;2
06.мар;02.авг;05.янв;01.май;2
06.янв;02.июн;05.июн;01.апр;2
07.июл;3;06.янв;02.мар;2
06.мар;03.апр;05.июн;02.апр;2
06.апр;03.янв;05.май;01.авг;2
6;3;04.авг;01.авг;2
06.сен;03.янв;05.апр;02.янв;2
06.июл;03.янв;05.июн;02.апр;2
06.сен;03.янв;05.янв;02.мар;2
05.авг;02.июл;05.янв;01.сен;2
06.авг;03.фев;05.сен;02.мар;2
06.июл;03.мар;05.июл;02.май;2
06.июл;3;05.фев;02.мар;2
06.мар;02.май;5;01.сен;2
06.май;3;05.фев;2;2
06.фев;03.апр;05.апр;02.мар;2
05.сен;3;05.янв;01.авг;2
