sepal.length;sepal.width;petal.length;petal.width;Y_True;Y_Pred;;;;;;;
6.2;2.8;4.8;1.8;2;1;;;;;;;
5.8;2.7;5.1;1.9;2;2;;;;;;;Accuracy: 0.933
4.9;3.1;1.5;0.1;0;0;;;;;;;Precision: 0.944
6.6;3.0;4.4;1.4;1;1;;;;;;;Recall: 0.933
5.1;3.8;1.9;0.4;0;0;;;;;;;Mean absolute error: 0.067
4.6;3.1;1.5;0.2;0;0;;;;;;;F1: 0.933
6.5;3.2;5.1;2.0;2;2;;;;;;;
5.1;2.5;3.0;1.1;1;1;;;;;;;
4.8;3.0;1.4;0.3;0;0;;;;;;;
6.1;2.9;4.7;1.4;1;1;;;;;;;
5.1;3.5;1.4;0.3;0;0;;;;;;;
7.7;2.6;6.9;2.3;2;2;;;;;;;
5.8;2.6;4.0;1.2;1;1;;;;;;;
6.0;3.4;4.5;1.6;1;1;;;;;;;
7.7;3.0;6.1;2.3;2;2;;;;;;;
